COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
12,4027.69,3922.56,3961.54,3999.49,4097.95,4208.72,3937.95,3951.28,4091.79,3908.21,3983.08,3987.18,4069.23,4027.18,2060,2041,3.194,0,0,0,0,
13,4051.28,3942.56,3986.15,4009.74,4136.41,4197.95,3946.15,3965.13,4105.64,3943.08,3998.97,4010.77,4096.92,4044.1,2057,2039,3.202,0,0,0,0,
14,4053.85,3949.74,3986.67,4005.13,4072.31,4185.13,3950.77,3977.95,4144.1,3995.38,4014.87,4018.46,4105.64,4053.33,2055,2039,3.216,0,0,0,0,
15,4042.56,3939.49,3972.82,4004.62,4056.92,4196.41,3949.74,3967.18,4122.56,3952.82,3997.44,3999.49,4078.46,4041.54,2053,2044,3.218,0,0,0,0,
16,4040.51,3929.74,3970.77,4005.13,4086.67,4196.92,3945.13,3951.79,4089.23,3924.1,3977.44,3992.82,4064.1,4034.36,2052,2047,3.227,0,0,0,0,
17,4050.26,3930.26,3985.64,4004.1,4071.28,4187.18,3949.23,3961.54,4118.97,3960,3993.33,4009.23,4082.05,4043.08,2052,2050,3.245,0,0,0,0,
18,4054.87,3930.26,3989.74,4006.67,4060,4197.95,3947.69,3969.74,4130.26,3964.1,3997.95,4003.59,4089.23,4040.51,2053,2050,3.253,0,0,0,0,
27,4051.28,3922.05,3968.21,3976.92,4041.54,4158.46,3917.95,3928.72,4095.9,3939.49,3988.72,3985.13,4087.69,4022.56,2048,2031,3.259,0,0,0,0,
28,4050.26,3922.56,3964.62,3978.46,4048.21,4164.62,3935.38,3935.9,4100,3935.38,3992.31,3986.15,4082.56,4013.85,2048,2025,3.274,0,0,0,0,
29,4041.03,3933.85,3960.51,3980.51,4047.18,4165.64,3949.23,3926.67,4087.69,3938.46,3994.87,3990.77,4086.15,4016.92,2051,2015,3.29,0,0,0,0,
30,4035.9,3936.41,3958.97,3975.9,4025.64,4163.59,3931.28,3910.26,4073.33,3925.13,3987.18,3977.95,4070.77,4007.18,2051,2010,3.297,0,0,0,0,
31,4043.08,3929.23,3957.95,3974.87,4018.97,4162.05,3924.62,3910.77,4073.85,3910.77,3993.33,3976.92,4064.62,3998.97,2052,2006,3.305,0,0,0,0,
32,4055.9,3930.26,3959.49,3979.49,4031.79,4156.92,3946.15,3926.15,4093.33,3944.62,4018.97,3998.97,4096.41,4020.51,2052,2005,3.312,0,0,0,0,
33,4057.95,3933.33,3960,3971.79,4040.51,4158.46,3946.67,3932.31,4109.74,3966.15,4030.26,4002.56,4106.67,4028.21,2054,2005,3.32,0,0,0,0,
34,4047.18,3923.08,3954.36,3957.95,4043.59,4158.46,3922.05,3925.64,4103.59,3935.38,4030.77,3987.69,4084.1,4006.15,2056,2006,3.327,0,0,0,0,
35,4049.74,3928.21,3954.36,3966.15,4045.13,4150.77,3924.62,3925.13,4088.21,3937.95,4036.92,3992.31,4082.56,4006.67,2059,2008,3.336,0,0,0,0,
36,4061.54,3946.67,3967.69,3978.46,4036.41,4149.23,3949.74,3936.92,4091.79,3964.1,4040.51,4008.21,4097.44,4025.64,2060,2007,3.343,0,0,0,0,
37,4054.87,3945.13,3972.82,3974.36,4022.05,4152.82,3952.31,3940.51,4098.46,3958.46,4035.38,4008.72,4092.82,4021.54,2061,2010,3.351,0,0,0,0,
38,4048.21,3929.23,3966.67,3970.26,4010.26,4148.21,3930.77,3931.28,4092.82,3936.92,4044.1,4010.77,4087.69,4014.36,2061,2011,3.359,0,0,0,0,
39,4054.36,3922.56,3967.18,3971.79,4021.54,4147.69,3920,3926.15,4081.03,3923.59,4054.36,4015.9,4087.69,4017.95,2060,2014,3.367,0,0,0,0,
40,4060.51,3928.21,3973.33,3972.31,4031.79,4144.1,3928.72,3934.36,4084.1,3936.92,4049.74,4013.85,4085.13,4020,2056,2016,3.375,0,0,0,0,
41,4060.51,3929.23,3976.92,3972.31,4023.08,4135.9,3928.21,3942.05,4098.46,3954.36,4053.85,4015.9,4091.28,4022.05,2055,2018,3.384,0,0,0,0,
42,4061.03,3930.26,3976.92,3975.38,4024.62,4143.08,3924.1,3946.67,4101.54,3949.23,4061.03,4023.59,4095.38,4024.62,2056,2019,3.39,0,0,0,0,
43,4068.21,3937.44,3981.54,3972.82,4033.33,4143.08,3937.95,3958.46,4093.33,3945.13,4057.44,4031.79,4095.38,4032.82,2056,2018,3.398,0,0,0,0,
44,4070.26,3940.51,3987.69,3972.82,4026.67,4131.28,3946.67,3957.44,4083.59,3957.44,4049.23,4033.33,4091.28,4042.56,2059,2020,3.406,0,0,0,0,
45,4064.62,3937.44,3986.67,3975.9,4017.44,4140,3932.31,3941.54,4075.9,3954.36,4047.18,4025.13,4084.1,4035.38,2060,2019,3.414,0,0,0,0,
46,4062.05,3930.77,3980.51,3971.28,4028.72,4151.79,3922.56,3937.95,4078.97,3936.92,4048.21,4022.05,4089.23,4025.13,2067,2022,3.422,0,0,0,0,
47,4064.1,3924.62,3975.9,3965.13,4028.21,4142.56,3935.9,3946.67,4089.23,3924.62,4051.79,4029.23,4094.36,4029.74,2070,2023,3.43,0,0,0,0,
48,4061.54,3922.05,3970.77,3963.08,4020,4144.62,3941.03,3940.51,4080,3914.36,4050.26,4027.18,4085.64,4027.69,2072,2023,3.438,0,0,0,0,
49,4066.67,3929.74,3978.46,3965.64,4030.77,4151.79,3935.38,3942.05,4078.46,3941.03,4049.23,4026.67,4090.77,4024.62,2073,2026,3.446,0,0,0,0,
50,4086.67,3945.64,4002.56,3973.85,4031.79,4141.03,3948.72,3969.23,4102.05,3992.31,4067.18,4044.62,4113.85,4047.18,2073,2028,3.453,0,0,0,0,
51,4085.64,3949.23,3998.97,3971.79,4028.72,4138.97,3949.74,3971.79,4105.64,3991.79,4071.79,4047.18,4116.41,4054.87,2072,2031,3.462,0,0,0,0,
52,4070.26,3942.56,3972.82,3959.49,4032.31,4159.49,3930.26,3950.26,4097.44,3960.51,4058.97,4032.82,4103.08,4035.9,2072,2033,3.469,0,0,0,0,
53,4070.77,3942.05,3969.74,3955.9,4025.64,4169.23,3930.77,3949.23,4092.31,3950.77,4058.97,4030.26,4091.79,4030.77,2072,2034,3.482,0,0,0,0,
54,4074.36,3939.49,3975.38,3956.92,4019.49,4159.49,3943.08,3962.05,4076.92,3953.33,4059.49,4026.67,4083.08,4031.79,2072,2032,3.487,0,0,0,0,
55,4073.33,3938.46,3976.41,3956.41,4024.62,4153.85,3942.56,3966.67,4073.33,3956.92,4054.87,4029.23,4092.82,4032.82,2072,2033,3.494,0,0,0,0,
56,4087.69,3951.79,3990.26,3968.21,4022.05,4146.67,3944.1,3974.87,4096.41,3959.49,4071.28,4057.44,4114.36,4051.79,2072,2034,3.501,0,0,0,0,
57,4077.95,3935.9,3982.56,3963.08,4011.28,4152.82,3932.82,3953.33,4077.95,3933.33,4052.31,4042.56,4090.77,4034.36,2070,2036,3.509,0,0,0,0,
